CAMERA TYPE,CAMERA LOCATION CODE,Location,
MOBILE SPEED CAMERA,0214B,-35.21797,149.0059
MOBILE SPEED CAMERA,0215A,-35.22677,149.01318
MOBILE SPEED CAMERA,0215B,-35.22203,149.01208
MOBILE SPEED CAMERA,0216A,-35.22417,149.05494
MOBILE SPEED CAMERA,0216B,-35.22387,149.05517
MOBILE SPEED CAMERA,0217A,-35.2313,149.05462
MOBILE SPEED CAMERA,0218A,-35.223,149.04277
MOBILE SPEED CAMERA,0219A,-35.21345,149.05398
MOBILE SPEED CAMERA,0220A,-35.161709,149.144903
MOBILE SPEED CAMERA,0220B,-35.160147,149.147331
MOBILE SPEED CAMERA,0221A,-35.153679,149.143521
MOBILE SPEED CAMERA,0222A,-35.171001,149.125079
MOBILE SPEED CAMERA,0223A,-35.190768,149.11755
MOBILE SPEED CAMERA,0224A,-35.19797,149.110972
MOBILE SPEED CAMERA,0225A,-35.201168,149.105901
MOBILE SPEED CAMERA,0226A,-35.200023,149.111308
MOBILE SPEED CAMERA,0226B,-35.20542,149.110131
MOBILE SPEED CAMERA,0227A,-35.215927,149.137407
MOBILE SPEED CAMERA,0227B,-35.218368,149.136919
MOBILE SPEED CAMERA,0227C,-35.203381,149.139802
MOBILE SPEED CAMERA,0227D,-35.211321,149.138251
MOBILE SPEED CAMERA,0227E,-35.212983,149.137929
MOBILE SPEED CAMERA,0228A,-35.20713,149.135799
MOBILE SPEED CAMERA,0228B,-35.20706,149.136899
MOBILE SPEED CAMERA,0228C,-35.207973,149.143581
MOBILE SPEED CAMERA,0228D,-35.209375,149.153774
MOBILE SPEED CAMERA,0228E,-35.209733,149.158721
MOBILE SPEED CAMERA,0229A,-35.177975,149.088232
MOBILE SPEED CAMERA,0230A,-35.306626,149.030811
MOBILE SPEED CAMERA,0230B,-35.297275,149.034234
MOBILE SPEED CAMERA,0230C,-35.309181,149.031272
MOBILE SPEED CAMERA,0231A,-35.334962,149.324708
MOBILE SPEED CAMERA,0231A,-35.334123,149.326102
MOBILE SPEED CAMERA,0231B,-35.332371,149.334204
MOBILE SPEED CAMERA,0231C,-35.323841,149.376737
MOBILE SPEED CAMERA,0231D,-35.335369,149.324454
MOBILE SPEED CAMERA,0232A,-35.286243,148.915875
MOBILE SPEED CAMERA,0232B,-35.275821,148.924585
MOBILE SPEED CAMERA,0233A,-35.31267,149.08508
MOBILE SPEED CAMERA,0233B,-35.31677,149.072881
MOBILE SPEED CAMERA,0233C,-35.327103,149.046647
MOBILE SPEED CAMERA,0233C,-35.325001,149.055276
MOBILE SPEED CAMERA,0233D,-35.327104,149.04665
MOBILE SPEED CAMERA,0233D,-35.327023,149.046649
MOBILE SPEED CAMERA,0233E,-35.323583,149.056323
MOBILE SPEED CAMERA,0233F,-35.317001,149.070485
MOBILE SPEED CAMERA,0233G,-35.312334,149.086803
MOBILE SPEED CAMERA,0234A,-35.201173,149.159284
MOBILE SPEED CAMERA,0234B,-35.201503,149.152674
MOBILE SPEED CAMERA,0235A,-35.19435,149.15427
MOBILE SPEED CAMERA,0235B,-35.194949,149.157743
MOBILE SPEED CAMERA,0236A,-35.18772,149.12327
MOBILE SPEED CAMERA,0236B,-35.186551,149.127726
MOBILE SPEED CAMERA,0236C,-35.188118,149.137181
MOBILE SPEED CAMERA,0237A,-35.342431,149.228473
MOBILE SPEED CAMERA,0237B,-35.342132,149.226579
MOBILE SPEED CAMERA,0237C,-35.3406,149.216982
MOBILE SPEED CAMERA,0238A,-35.1989,149.031571
MOBILE SPEED CAMERA,0238B,-35.204704,149.030795
MOBILE SPEED CAMERA,0239A,-35.244295,149.06727
MOBILE SPEED CAMERA,0239B,-35.24558,149.067573
MOBILE SPEED CAMERA,0240A,-35.220881,149.038118
MOBILE SPEED CAMERA,0241A,-35.247866,149.049985
MOBILE SPEED CAMERA,0241B,-35.246718,149.050547
MOBILE SPEED CAMERA,0242A,-35.247251,149.04005
MOBILE SPEED CAMERA,0243A,-35.21754,149.195208
MOBILE SPEED CAMERA,0243B,-35.227493,149.19635
MOBILE SPEED CAMERA,0243C,-35.234282,149.195385
MOBILE SPEED CAMERA,0243D,-35.249873,149.188673
MOBILE SPEED CAMERA,0243E,-35.259035,149.187355
MOBILE SPEED CAMERA,0243F,-35.274134,149.186969
MOBILE SPEED CAMERA,0243G,-35.266928,149.187201
MOBILE SPEED CAMERA,0243H,-35.258807,149.187156
MOBILE SPEED CAMERA,0243I,-35.234002,149.195269
MOBILE SPEED CAMERA,0243J,-35.221761,149.195718
MOBILE SPEED CAMERA,0244A,-35.378725,149.181881
MOBILE SPEED CAMERA,0244B,-35.381983,149.176531
MOBILE SPEED CAMERA,0245A,-35.240624,149.075135
MOBILE SPEED CAMERA,0245B,-35.237188,149.077151
MOBILE SPEED CAMERA,0247A,-35.450671,148.981382
MOBILE SPEED CAMERA,0248A,-35.45019,149.046551
MOBILE SPEED CAMERA,0248B,-35.44752,149.063152
MOBILE SPEED CAMERA,0249A,-35.461421,149.078774
MOBILE SPEED CAMERA,0249B,-35.45267,149.080583
MOBILE SPEED CAMERA,0250A,-35.471325,149.088971
MOBILE SPEED CAMERA,0250B,-35.46136,149.084315
MOBILE SPEED CAMERA,0250C,-35.461539,149.084355
MOBILE SPEED CAMERA,0251A,-35.27701,149.08677
MOBILE SPEED CAMERA,0251B,-35.26943,149.08787
MOBILE SPEED CAMERA,0251C,-35.27559,149.08749
MOBILE SPEED CAMERA,0252A,-35.428704,149.072433
MOBILE SPEED CAMERA,0252A,-35.428724,149.072429
MOBILE SPEED CAMERA,0252B,-35.428984,149.072333
MOBILE SPEED CAMERA,0252B,-35.428973,149.072253
MOBILE SPEED CAMERA,0253A,-35.453605,149.118931
MOBILE SPEED CAMERA,0253B,-35.4536,149.118849
MOBILE SPEED CAMERA,0254A,-35.209291,149.038725
MOBILE SPEED CAMERA,0254B,-35.209096,149.042819
MOBILE SPEED CAMERA,0255A,-35.246148,149.127837
MOBILE SPEED CAMERA,0255B,-35.247882,149.129773
MOBILE SPEED CAMERA,0256A,-35.41409,149.115099
MOBILE SPEED CAMERA,0256B,-35.400455,149.122919
MOBILE SPEED CAMERA,0256C,-35.398905,149.116474
MOBILE SPEED CAMERA,0256D,-35.409188,149.119321
MOBILE SPEED CAMERA,0256E,-35.418344,149.107107
MOBILE SPEED CAMERA,0257A,-35.43054,149.127919
MOBILE SPEED CAMERA,0257B,-35.430828,149.123369
MOBILE SPEED CAMERA,0258A,-35.163902,149.147828
MOBILE SPEED CAMERA,0259A,-35.167083,149.095982
MOBILE SPEED CAMERA,0260A,-35.171832,149.092249
MOBILE SPEED CAMERA,0260B,-35.173284,149.091269
MOBILE SPEED CAMERA,0261A,-35.317858,149.150901
MOBILE SPEED CAMERA,0262A,-35.425405,149.132653
MOBILE SPEED CAMERA,0262B,-35.424325,149.115327
MOBILE SPEED CAMERA,0262C,-35.415155,149.13295
MOBILE SPEED CAMERA,3000A,-35.242385,149.087771
MOBILE SPEED CAMERA,3001A,-35.204721,149.030789
MOBILE SPEED CAMERA,3002A,-35.187726,149.123275
MOBILE SPEED CAMERA,3003A,-35.194354,149.15427
MOBILE SPEED CAMERA,3004A,-35.201501,149.152666
MOBILE SPEED CAMERA,3005A,-35.247255,149.040058
MOBILE SPEED CAMERA,3006A,-35.25063,149.12583
MOBILE SPEED CAMERA,3007A,-35.253978,149.147274
MOBILE SPEED CAMERA,3008A,-35.19777,149.120784
MOBILE SPEED CAMERA,3008B,-35.197898,149.119858
MOBILE SPEED CAMERA,3009A,-35.256223,149.079421
MOBILE SPEED CAMERA,3010A,-35.315443,149.126609
MOBILE SPEED CAMERA,3011A,-35.318058,149.115901
MOBILE SPEED CAMERA,3011B,-35.316771,149.116587
MOBILE SPEED CAMERA,3012A,-35.425473,149.090901
MOBILE SPEED CAMERA,3013A,-35.441233,149.116379
MOBILE SPEED CAMERA,3014A,-35.336347,149.148487
MOBILE SPEED CAMERA,3015A,-35.339955,149.134001
MOBILE SPEED CAMERA,3016A,-35.331375,149.122657
MOBILE SPEED CAMERA,3017A,-35.32379,149.093457
MOBILE SPEED CAMERA,3018A,-35.340335,149.090097
MOBILE SPEED CAMERA,3019A,-35.361795,149.087758
MOBILE SPEED CAMERA,3020A,-35.371858,149.091117
MOBILE SPEED CAMERA,3021A,-35.379083,149.107299
MOBILE SPEED CAMERA,3022A,-35.341047,149.076029
MOBILE SPEED CAMERA,3023A,-35.331275,149.078696
MOBILE SPEED CAMERA,3024A,-35.40526,149.117831
MOBILE SPEED CAMERA,3025A,-35.405258,149.117831
MOBILE SPEED CAMERA,3025A,-35.429008,149.090024
MOBILE SPEED CAMERA,3026A,-35.46098,149.097771
MOBILE SPEED CAMERA,3027A,-35.380428,149.052719
MOBILE SPEED CAMERA,3028A,-35.225133,149.114669
MOBILE SPEED CAMERA,3028B,-35.22518,149.113981
MOBILE SPEED CAMERA,3029A,-35.235253,149.102219
MOBILE SPEED CAMERA,3030A,-35.17976,149.092719
MOBILE SPEED CAMERA,3031A,-35.192488,149.043271
MOBILE SPEED CAMERA,3032A,-35.207325,149.076384
MOBILE SPEED CAMERA,3033A,-35.226658,149.052354
MOBILE SPEED CAMERA,3034A,-35.225425,149.040971
MOBILE SPEED CAMERA,3035A,-35.24436,149.031399
MOBILE SPEED CAMERA,3036A,-35.248805,149.154729
MOBILE SPEED CAMERA,3037A,-35.237474,149.152808
MOBILE SPEED CAMERA,3038A,-35.253648,149.139205
MOBILE SPEED CAMERA,3039A,-35.274185,149.139599
MOBILE SPEED CAMERA,3040A,-35.353754,149.060072
MOBILE SPEED CAMERA,3041A,-35.334808,149.031851
MOBILE SPEED CAMERA,3042A,-35.332975,149.049043
MOBILE SPEED CAMERA,3043A,-35.357178,149.042929
MOBILE SPEED CAMERA,3044A,-35.355123,149.042546
MOBILE SPEED CAMERA,3045A,-35.414688,149.111849
MOBILE SPEED CAMERA,3046A,-35.25293,149.131042
MOBILE SPEED CAMERA,3047A,-35.290995,149.155772
MOBILE SPEED CAMERA,3048A,-35.285675,149.146929
MOBILE SPEED CAMERA,3049A,-35.195384,149.152436
MOBILE SPEED CAMERA,3050A,-35.196955,149.145502
MOBILE SPEED CAMERA,3050B,-35.197066,149.145771
MOBILE SPEED CAMERA,3051A,-35.394878,149.080477
MOBILE SPEED CAMERA,3052A,-35.399175,149.085271
MOBILE SPEED CAMERA,3053A,-35.406012,149.090951
MOBILE SPEED CAMERA,3054A,-35.439408,149.08908
MOBILE SPEED CAMERA,3055A,-35.456732,149.086053
MOBILE SPEED CAMERA,3056A,-35.458683,149.095797
MOBILE SPEED CAMERA,3057A,-35.447025,149.12462
MOBILE SPEED CAMERA,3058A,-35.418558,149.122323
MOBILE SPEED CAMERA,3059A,-35.419625,149.13598
MOBILE SPEED CAMERA,4000,-35.202827,149.096463
MOBILE SPEED CAMERA,4001A,-35.198973,149.092068
MOBILE SPEED CAMERA,4001B,-35.202706,149.096607
MOBILE SPEED CAMERA,4002A,-35.197646,149.162917
MOBILE SPEED CAMERA,4002B,-35.191379,149.160513
MOBILE SPEED CAMERA,3061A,-35.351858,149.054001
MOBILE SPEED CAMERA,0264A,-35.35053,149.049679
MOBILE SPEED CAMERA,0272A,-35.282084,149.137251
MOBILE SPEED CAMERA,0269A,-35.26887,149.134924
MOBILE SPEED CAMERA,0270A,-35.270707,149.136787
MOBILE SPEED CAMERA,0271A,-35.275509,149.136237
MOBILE SPEED CAMERA,3060A,-35.377686,149.064281
MOBILE SPEED CAMERA,0267B,-35.368492,149.098549
MOBILE SPEED CAMERA,0265A,-35.347685,149.052099
MOBILE SPEED CAMERA,0268A,-35.211365,149.096778
MOBILE SPEED CAMERA,0266A,-35.352938,149.094731
MOBILE SPEED CAMERA,0263A,-35.378508,149.059674
MOBILE SPEED CAMERA,0271B,-35.274177,149.139637
MOBILE SPEED CAMERA,4004A,-35.222296,149.1441
MOBILE SPEED CAMERA,4003A,-35.315765,149.076981
MOBILE SPEED CAMERA,4004B,-35.204635,149.14805
MOBILE SPEED CAMERA,4004C,-35.196372,149.150503
FIXED ONLY SPEED CAMERA,1026N,-35.19213,149.08327
FIXED ONLY SPEED CAMERA,1026S,-35.19198,149.08327
POINT TO POINT CAMERA,2006/2007,-35.395173,149.074769
POINT TO POINT CAMERA,2005/2008,-35.373625,149.092969
MOBILE SPEED CAMERA,3062,-35.355139,149.053829
MOBILE SPEED CAMERA,3063,-35.393191,149.066987
MOBILE SPEED CAMERA,0275B,-35.393191,149.066987
MOBILE SPEED CAMERA,0275A,-35.396254,149.062129
MOBILE SPEED CAMERA,0274A,-35.335538,149.046653
MOBILE SPEED CAMERA,0274B,-35.336263,149.04145
MOBILE SPEED CAMERA,0211D,-35.247622,149.059273
MOBILE SPEED CAMERA,0211E,-35.24955,149.062629
MOBILE SPEED CAMERA,0277A,-35.27022,149.11677
MOBILE SPEED CAMERA,0276A,-35.268,149.119417
MOBILE SPEED CAMERA,3064A,-35.250633,149.058803
